"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2017","13,431.06","13,487.36","13,493.43","13,425.93","205.31M","-0.42%"
"07/02/2017","13,487.36","13,396.68","13,518.76","13,396.68","118.21M","0.68%"
"06/28/2017","13,395.81","13,482.56","13,486.00","13,394.75","153.79M","-0.16%"
"06/22/2017","13,417.14","13,376.44","13,470.98","13,376.44","171.40M","0.30%"
"06/21/2017","13,376.44","13,415.55","13,416.76","13,323.94","111.97M","-0.29%"
"06/20/2017","13,415.55","13,492.57","13,520.69","13,415.55","123.05M","-0.69%"
"06/19/2017","13,508.39","13,491.39","13,532.13","13,487.30","210.89M","0.09%"
"06/18/2017","13,496.47","13,482.72","13,519.88","13,482.72","252.85M","0.13%"
"06/15/2017","13,478.75","13,488.37","13,505.34","13,468.68","463.78M","-0.17%"
"06/14/2017","13,502.12","13,529.97","13,563.46","13,501.77","213.76M","-0.22%"
"06/13/2017","13,531.34","13,485.86","13,554.54","13,460.00","327.17M","0.29%"
"06/12/2017","13,491.89","13,619.31","13,621.30","13,491.89","385.73M","-0.91%"
"06/11/2017","13,616.04","13,685.29","13,690.73","13,616.04","346.66M","-0.49%"
"06/08/2017","13,683.66","13,634.65","13,692.73","13,610.83","226.86M","0.37%"
"06/07/2017","13,632.98","13,655.63","13,658.99","13,610.36","278.78M","0.05%"
"06/06/2017","13,626.80","13,520.13","13,644.08","13,520.13","290.80M","0.79%"
"06/05/2017","13,520.13","13,497.30","13,536.99","13,462.88","181.31M","0.18%"
"06/04/2017","13,495.32","13,468.39","13,509.38","13,468.39","138.57M","0.21%"
"06/01/2017","13,467.29","13,339.63","13,482.30","13,339.63","199.79M","0.96%"
"05/31/2017","13,339.63","13,250.39","13,339.85","13,233.69","326.00M","0.76%"
"05/30/2017","13,239.16","13,208.17","13,240.22","13,167.35","357.44M","0.24%"
"05/29/2017","13,207.94","13,206.86","13,298.19","13,206.86","290.90M","0.02%"
"05/28/2017","13,205.11","13,094.42","13,208.02","13,091.62","238.69M","0.85%"
"05/25/2017","13,094.42","12,944.36","13,107.24","12,942.07","300.56M","1.63%"
"05/24/2017","12,884.44","12,797.43","12,895.44","12,775.43","330.55M","0.72%"
"05/23/2017","12,791.83","12,661.61","12,791.83","12,661.61","409.12M","1.14%"
"05/22/2017","12,648.24","12,880.08","12,880.08","12,648.24","435.08M","-2.52%"
"05/21/2017","12,974.75","12,952.38","12,976.28","12,936.05","157.52M","0.17%"
"05/18/2017","12,952.38","13,059.09","13,081.96","12,952.38","177.28M","-0.85%"
"05/17/2017","13,064.02","12,940.89","13,066.80","12,937.66","331.25M","0.99%"
"05/16/2017","12,936.59","12,865.55","12,939.57","12,860.02","521.73M","0.55%"
"05/15/2017","12,866.06","12,869.17","12,904.98","12,866.06","266.33M","-0.04%"
"05/14/2017","12,870.91","12,909.16","12,917.53","12,870.91","85.95M","-0.28%"
"05/11/2017","12,906.98","12,993.40","13,033.50","12,906.74","159.05M","-0.67%"
"05/10/2017","12,993.40","12,935.65","13,047.63","12,935.65","304.86M","0.46%"
"05/09/2017","12,933.68","12,827.27","12,934.06","12,822.86","317.16M","0.82%"
"05/08/2017","12,827.93","12,699.63","12,844.89","12,699.63","247.41M","1.07%"
"05/07/2017","12,692.15","12,711.55","12,730.76","12,665.49","342.29M","-0.14%"
"05/04/2017","12,709.93","12,602.94","12,722.08","12,602.94","138.33M","0.84%"
"05/03/2017","12,603.56","12,528.83","12,607.88","12,516.64","129.51M","0.58%"
"05/02/2017","12,530.32","12,439.07","12,565.25","12,439.07","114.84M","0.78%"
"04/30/2017","12,433.60","12,523.88","12,523.88","12,345.33","173.84M","-0.74%"
"04/27/2017","12,525.69","12,645.55","12,723.34","12,525.69","151.69M","-1.15%"
"04/26/2017","12,671.29","12,583.13","12,710.21","12,583.13","115.52M","0.70%"
"04/24/2017","12,583.13","12,523.98","12,634.40","12,523.98","110.28M","0.30%"
