"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2019","11,289.93","11,311.02","11,332.21","11,278.64","","-0.19%"
"07/12/2019","11,311.02","11,270.96","11,317.34","11,266.27","","0.35%"
"07/11/2019","11,271.78","11,293.70","11,354.60","11,253.76","","-0.19%"
"07/10/2019","11,293.70","11,214.16","11,293.70","11,204.36","","0.71%"
"07/09/2019","11,214.16","11,151.49","11,214.50","11,100.48","","0.56%"
"07/08/2019","11,151.49","11,241.00","11,245.33","11,124.22","","-0.80%"
"07/05/2019","11,241.00","11,249.63","11,252.48","11,210.83","","-0.25%"
"07/04/2019","11,269.44","11,258.08","11,283.22","11,195.13","","-0.14%"
"07/03/2019","11,285.46","11,215.04","11,286.74","11,211.43","","0.36%"
"07/02/2019","11,245.45","11,268.70","11,271.36","11,226.37","","-0.22%"
"07/01/2019","11,269.87","11,286.18","11,295.97","11,187.81","","-0.15%"
"06/28/2019","11,287.04","11,329.50","11,329.50","11,226.11","","-0.37%"
"06/27/2019","11,329.50","11,265.54","11,329.79","11,243.11","","0.33%"
"06/26/2019","11,291.82","11,294.00","11,318.16","11,276.45","","-0.11%"
"06/25/2019","11,303.82","11,344.74","11,344.74","11,194.68","","-0.38%"
"06/24/2019","11,346.76","11,409.42","11,409.42","11,286.33","","-0.80%"
"06/21/2019","11,437.84","11,449.86","11,466.96","11,399.43","","-0.60%"
"06/20/2019","11,506.77","11,465.00","11,508.87","11,440.99","","0.34%"
"06/19/2019","11,467.92","11,471.04","11,552.13","11,452.61","","-0.06%"
"06/18/2019","11,474.63","11,282.63","11,474.63","11,278.34","","1.62%"
"06/17/2019","11,291.33","11,072.74","11,297.84","11,070.42","","1.97%"
"06/14/2019","11,072.74","10,967.54","11,075.70","10,962.50","","0.95%"
"06/13/2019","10,968.42","10,962.79","10,991.67","10,938.92","","0.05%"
"06/12/2019","10,962.79","11,026.82","11,036.79","10,926.80","","-0.59%"
"06/11/2019","11,027.91","11,007.08","11,029.69","10,996.22","","0.19%"
"06/10/2019","11,007.37","11,034.35","11,042.73","10,947.69","","-0.24%"
"06/04/2019","11,034.35","11,010.09","11,034.35","10,964.76","","0.21%"
"06/03/2019","11,011.17","10,999.88","11,020.40","10,994.24","","0.10%"
"05/31/2019","10,999.88","11,045.81","11,088.43","10,999.88","","-0.42%"
"05/30/2019","11,045.81","11,073.06","11,121.40","11,029.81","","-0.25%"
"05/29/2019","11,073.06","11,134.41","11,138.88","11,036.88","","-0.55%"
"05/28/2019","11,134.41","11,051.89","11,134.41","11,051.89","","0.75%"
"05/27/2019","11,051.89","11,046.35","11,057.80","11,037.57","","-0.32%"
"05/24/2019","11,087.32","11,149.42","11,183.94","11,085.81","","-1.51%"
"05/23/2019","11,257.47","11,316.66","11,316.66","11,257.47","","-0.60%"
"05/22/2019","11,325.42","11,324.17","11,325.42","11,279.05","","0.01%"
"05/21/2019","11,324.17","11,391.08","11,392.13","11,289.08","","-0.59%"
"05/20/2019","11,391.08","11,344.87","11,407.81","11,300.59","","0.35%"
"05/17/2019","11,351.52","11,420.17","11,430.08","11,350.98","","-0.60%"
"05/16/2019","11,420.17","11,342.59","11,420.17","11,309.67","","0.68%"
"05/15/2019","11,342.59","11,247.51","11,344.47","11,217.70","","0.85%"
"05/14/2019","11,247.51","11,222.47","11,247.51","11,203.81","","0.22%"
"05/13/2019","11,222.47","11,237.50","11,238.17","11,219.69","","-0.13%"
"05/10/2019","11,237.50","11,243.67","11,271.15","11,222.81","","-0.05%"
"05/09/2019","11,243.67","11,216.73","11,243.67","11,186.69","","0.24%"
"05/08/2019","11,216.73","11,196.41","11,254.77","11,179.12","","0.18%"
"05/07/2019","11,196.41","11,161.58","11,199.46","11,151.93","","0.31%"
"05/06/2019","11,161.58","11,161.26","11,171.97","11,139.74","","0.00%"
"05/03/2019","11,161.26","11,172.13","11,181.24","11,121.88","","-0.10%"
"05/02/2019","11,172.13","11,192.06","11,202.28","11,120.50","","-0.18%"
"04/30/2019","11,192.06","11,141.59","11,201.92","11,121.02","","0.43%"
"04/29/2019","11,144.09","11,138.51","11,152.59","11,127.21","","0.05%"
"04/26/2019","11,138.51","11,125.06","11,170.62","11,107.63","","0.11%"
"04/25/2019","11,126.67","11,106.02","11,136.31","11,090.41","","0.19%"
"04/24/2019","11,106.02","11,154.18","11,154.18","11,086.24","","-0.43%"
